Team / Role	KPI	Source	Goal (Daily / Weekly)	Status	Why		Branch	KPI	Source	Goal (Weekly)	Status	Why		Saloon Coordinators	KPI	Source	Goal (Daily / Weekly)	Status	Why
Senior Stylist	Retail %	Tara	≥12%	Not Hit	Upsell performance		Motor City	Treatment %	Tara	≥20%	Not Hit	Attach gap							
Senior Stylist	Treatment %	Tara	≥20%	Not Hit	Service attach rate		Motor City	Delay	New	≤10 mins/day	Not Hit	Space constraint							
Senior Stylist	Rebooking %	Tara	≥45%	Not Hit	Client retention		Motor City	Late Clients	New	≤8–10%	Not Hit	Flow sensitivity							
Senior Stylist	Service Time Control	New	By Branch (10–15 mins)	Not Hit	Keeps schedule realistic		Motor City	Overbooking	New	≤2/day	Not Hit	Limited capacity							
																			
Style Director	Avg Bill (Hair)	Tara	≥700–800 AED daily	Hit	Value per hair client		Fratelli	Client Count	Tara	500–600/week	Mixed	Walk-in driven							
Style Director	Avg Bill (Beauty)	Tara	≥200 AED	Unknown	Value per beauty client		Fratelli	Revenue	Tara	200–260K/week	Mixed	Different model							
Style Director	Retail %	Tara	≥12%	Not Hit	Upsell performance		Fratelli	Avg Bill (Hair)	Tara (Adjusted)	Lower baseline	Mixed	Service type differs							
Style Director	Treatment %	Tara	≥20%	Not Hit	Service attach rate		Fratelli	Avg Bill (Beauty)	New	N/A	N/A	Not applicable							
Style Director	Rebooking %	Tara	≥45%	Not Hit	Client retention		Fratelli	Rebooking %	New	≥30%	Mixed	Different behavior							
Style Director	Service Time Control	New	By Branch (10–15 mins)	Not Hit	Keeps schedule realistic		Fratelli	Retail %	New	≥8–10%	Mixed	Lower retail focus							
							Fratelli	Treatment %	New	N/A	N/A	Not applicable							
Quality KPIs							Fratelli	Delay	New	≤5–8 mins	Mixed	Fast operations							
- Client Satisfaction %							Fratelli	Late Clients	New	≤8–10%	Mixed	Still relevant							
- Reviews (Google / Fresha / etc.)							Fratelli	Overbooking	New	≤2/day	Mixed	Keep flow clean							
- Complaints / redo cases																			
																			
Team / Role	KPI	Source	Goal (Daily / Weekly)	Status	Why														
Salon Coordinator	Attendance Rate	New	>=98-100%	Unknown	Critical for daily operations flow														
Salon Coordinator	Late Rate	New	<=2%	Unknown	Controls team punctuality														
Salon Coordinator	Absences	New	0-1/month	Unknown	Prevents operational breakdown														
																			
Reception	Attendance Rate	New	>=98-100%	Unknown	Frontline presence required														
Reception	Late Rate	New	<=2%	Unknown	Affects client experience immediately														
Reception	Absences	New	0-1/month	Unknown	Direct impact on bookings														
																			
Senior Stylist / Stylist	Attendance Rate	New	>=97-100%	Unknown	Direct revenue driver														
Senior Stylist / Stylist	Late Rate	New	<=3%	Unknown	Delays affect multiple clients														
Senior Stylist / Stylist	Absences	New	<=1/month	Unknown	Revenue and retention impact														
Junior Stylist	Attendance Rate	New	>=95-100%	Unknown	Still building clientele														
Junior Stylist	Late Rate	New	<=4%	Unknown	Client-facing but lower load														
Junior Stylist	Absences	New	<=1/month	Unknown	Affects training and support														
																			
Assistant Stylist	Attendance Rate	New	>=95-100%	Unknown	Supports service flow														
Assistant Stylist	Late Rate	New	<=5%	Unknown	Impacts efficiency not direct revenue														
Assistant Stylist	Absences	New	<=1-2/month	Unknown	Affects team support capacity														
